project,summary,skills,key_features,concepts,project_type,github_url
traefik,"Traefik is a cloud native application proxy that enables users to easily manage and configure their application's traffic. It supports various technologies such as Docker, Kubernetes, and Marathon. Traefik provides features like load balancing, reverse proxy, and SSL termination. It is designed to work seamlessly with microservices architectures.","[""Go"", ""Docker"", ""Kubernetes""]","[""load balancing"", ""reverse proxy"", ""SSL termination""]","[""Microservices"", ""Reverse Proxy"", ""Load Balancer"", ""Docker""]",Proxy Server,https://github.com/traefik/traefik
vaultwarden,"An unofficial Bitwarden compatible server written in Rust, providing an alternative to the official Bitwarden server for self-hosted deployment. It is compatible with official Bitwarden clients and is designed to be more resource-efficient. The project is formerly known as bitwarden_rs. It allows users to host their own Bitwarden server.","[""Rust"", ""Docker"", ""Rocket""]","[""Bitwarden Client API implementation"", ""Self-hosted deployment""]","[""REST API"", ""Authentication""]",Server Implementation,https://github.com/dani-garcia/vaultwarden
TrendRadar,"TrendRadar is an AI-driven public opinion and trend monitor that aggregates multi-platform data, RSS, and smart alerts. It supports keyword filtering, AI-powered news filtering, translation, and analysis. The project also integrates with various messaging platforms for smart push notifications.","[""Python""]","[""Multi-platform aggregation"", ""RSS support"", ""Smart alerts"", ""Keyword filtering"", ""AI-powered news filtering"", ""AI translation"", ""AI analysis"", ""Smart push notifications""]","[""AI"", ""Machine Learning"", ""Docker"", ""Microservices"", ""Data Analysis""]",AI-powered trend monitoring platform,https://github.com/sansan0/TrendRadar
dive,"A tool for exploring each layer in a Docker image, analyzing its contents, and discovering ways to shrink its size.","[""Go"", ""Docker"", ""CLI""]","[""Layer exploration"", ""Image analysis"", ""Size optimization""]","[""Docker"", ""CLI"", ""Image inspection""]",DevOps Tool,https://github.com/wagoodman/dive
Docker-OSX,"Run macOS VM in a Docker container with near-native performance, X11 Forwarding, and support for security research. It allows conducting security research on macOS using both Linux and Windows.","[""Shell"", ""Docker""]","[""Mac OS X in Docker"", ""X11 Forwarding"", ""Near-native performance""]","[""Docker"", ""Containerization"", ""CI/CD"", ""Virtualization""]",Virtualization,https://github.com/sickcodes/Docker-OSX
windows,"This project provides a Windows environment inside a Docker container, utilizing Docker and virtualization technologies. It features an ISO downloader, KVM acceleration, and a web-based viewer. The project can be run via Docker Compose and supports various configurations.","[""Shell"", ""Docker""]","[""ISO downloader"", ""KVM acceleration"", ""Web-based viewer""]","[""Docker"", ""Virtualization""]",Virtualization,https://github.com/dockur/windows
lazydocker,Lazydocker is a tool to manage Docker containers and images. It provides a simple and efficient way to manage everything Docker. The project is built using Go and aims to simplify Docker management. It is available for MacOS and Linux.,"[""Go"", ""Docker""]","[""Docker container management"", ""Docker image management""]","[""Docker"", ""Containerization""]",DevOps Tool,https://github.com/jesseduffield/lazydocker
mastodon,"Mastodon is a self-hosted, globally interconnected microblogging community. It is a free, open-source social network server based on ActivityPub. The platform allows users to host their own social network server and connect with other servers. Mastodon provides a decentralized social networking experience.","[""Ruby""]","[""Microblogging"", ""Social Networking"", ""Decentralized Networking""]","[""ActivityPub"", ""Docker"", ""Microservices"", ""Social Network""]",Social Network Server,https://github.com/mastodon/mastodon
awesome-compose,"A collection of Docker Compose samples for personal use, including single service samples and basic setups for different platforms.","[""Docker"", ""Docker Compose"", ""HTML""]","[""Single service samples"", ""Basic platform setups""]","[""Docker"", ""Microservices""]",Containerization,https://github.com/docker/awesome-compose
data-engineering-zoomcamp,"Data Engineering Zoomcamp is a free 9-week course on building production-ready data pipelines, focusing on data engineering fundamentals and industry-standard tools.","[""Jupyter Notebook"", ""dbt"", ""docker"", ""kafka"", ""kestra"", ""spark""]","[""end-to-end data pipeline"", ""production-ready data pipelines""]","[""Data Engineering"", ""Data Pipelines"", ""Docker""]",Education,https://github.com/DataTalksClub/data-engineering-zoomcamp
Sunshine,"Sunshine is a self-hosted game stream host for Moonlight, allowing users to stream games remotely. It is designed to work with various package managers and has a focus on game streaming. The project is built using C++ and utilizes Docker. It aims to provide a seamless game streaming experience for users.","[""C++"", ""Docker""]","[""Game streaming"", ""Remote desktop""]","[""Docker"", ""Microservices""]",Game Streaming Server,https://github.com/LizardByte/Sunshine
portainer,"Portainer is a lightweight service delivery platform for containerized applications, making Docker and Kubernetes management easy. It provides a simple GUI and API to manage orchestrator resources. Portainer supports deployment on any cluster as a Linux or Windows container. It has two editions: Community Edition and Business Edition.","[""TypeScript"", ""Docker"", ""Kubernetes"", ""Docker Compose""]","[""Container management"", ""Orchestrator resource management"", ""GUI and API interface""]","[""Containerization"", ""Docker"", ""Kubernetes"", ""Microservices"", ""CI/CD""]",Container Management Platform,https://github.com/portainer/portainer
compose,"Docker Compose is a tool for defining and running multi-container applications with Docker. It allows users to define and run applications with multiple containers. The project is built using Go and provides a simple way to manage and orchestrate containers. It supports various operating systems, including Windows, macOS, and Linux.","[""Go"", ""Docker""]","[""Multi-container application management"", ""Container orchestration""]","[""Docker"", ""Orchestration"", ""Containerization""]",Container Orchestration Tool,https://github.com/docker/compose
harness,"Harness Open Source is an end-to-end developer platform with Source Control Management, CI/CD Pipelines, Hosted Developer Environments, and Artifact Registries. It provides automated DevOps pipelines, code hosting, and artifact registries. The platform is designed to streamline development and deployment processes. It is built using Go and utilizes Docker.","[""Go"", ""Docker""]","[""Source Control Management"", ""CI/CD Pipelines"", ""Hosted Developer Environments"", ""Artifact Registries""]","[""CI/CD"", ""Continuous Integration"", ""Continuous Delivery"", ""Docker""]",DevOps Platform,https://github.com/harness/harness
trivy,"Trivy is a comprehensive security scanner that detects vulnerabilities, misconfigurations, secrets, and SBOM in various targets such as containers, Kubernetes, code repositories, and clouds. It supports multiple programming languages, operating systems, and platforms. Trivy has scanners for OS packages, software dependencies, known vulnerabilities, IaC issues, and sensitive information. It is designed to be versatile and can scan different types of targets.","[""Go"", ""Docker"", ""Kubernetes""]","[""Vulnerability detection"", ""Misconfiguration detection"", ""Secrets detection"", ""SBOM generation""]","[""Security scanning"", ""Vulnerability detection"", ""CI/CD"", ""Containerization"", ""Docker"", ""Kubernetes"", ""Infrastructure-as-Code""]",Security tool,https://github.com/aquasecurity/trivy
awesome-docker,"A curated list of Docker resources and projects, focusing on Docker integration and related tools.","[""Docker""]","[""Curated list of Docker resources"", ""Docker projects""]","[""Containerization"", ""Docker""]",Curated List,https://github.com/veggiemonk/awesome-docker
1Panel,"1Panel is a modern, open-source VPS control panel with native AI agent support, allowing users to manage their entire server stack from a clean web interface. It supports Ollama models and OpenClaw agents. The project is trusted by over 2 million self-hosters worldwide. It provides a unified interface for server management.","[""Go"", ""Docker"", ""OpenResty"", ""Linux""]","[""VPS control panel"", ""AI agent support"", ""Server stack management"", ""Web interface""]","[""Docker"", ""AI"", ""Web Interface""]",VPS Control Panel,https://github.com/1Panel-dev/1Panel
CasaOS,"CasaOS is a simple, easy-to-use, elegant open-source Personal Cloud system. It aims to provide autonomy, reduce SaaS costs, and maximize personalization. CasaOS is designed for home automation and self-hosted use cases. It offers a personalized copilot experience.","[""Go"", ""VueJS"", ""Docker""]","[""Personal Cloud"", ""Home Automation"", ""Self-Hosted""]","[""Docker"", ""Home-Cloud"", ""IoT""]",Cloud System,https://github.com/IceWhaleTech/CasaOS
glance,"Glance is a self-hosted dashboard that aggregates various feeds into a single, customizable interface. It supports multiple widget types, including RSS feeds, social media, weather, and more. The dashboard is highly customizable and can be tailored to individual preferences. It is designed to be lightweight and streamlined.","[""Go"", ""Docker""]","[""RSS feed aggregation"", ""Customizable widgets"", ""Multi-source dashboard""]","[""Dashboard"", ""Aggregator"", ""Customization"", ""Docker""]",Dashboard,https://github.com/glanceapp/glance
